"phoneID","date","measureID","sensorData","distance","samplingRate","orientation","calculatedDistance"
"samsung_SM-A705FN","2021_12_06_12_51_54",,"1","40","10000","vertical","0.42010553643385784"
"samsung_SM-A705FN","2021_12_06_12_51_54",,"2","40","10000","vertical","0.2612071241101442"
"samsung_SM-A705FN","2021_12_06_12_51_54",,"3","40","10000","vertical","0.8313333494956557"
"samsung_SM-A705FN","2021_12_06_12_52_47","no id","1","100","10000","vertical","1.7408371814137986"
"samsung_SM-A705FN","2021_12_06_12_52_47","no id","2","100","10000","vertical","1.2556102981481296"
"samsung_SM-A705FN","2021_12_06_12_52_47","no id","3","100","10000","vertical","0.4950314920195593"
"samsung_SM-A705FN","2021_12_06_12_53_34","no id","1","100","100000","vertical","0.4883865484345727"
"samsung_SM-A705FN","2021_12_06_12_53_34","no id","2","100","100000","vertical","0.4932156904193825"
"samsung_SM-A705FN","2021_12_06_12_53_34","no id","3","100","100000","vertical","0.9979881190431628"
"samsung_SM-A705FN","2021_12_06_12_54_33","no id","1","40","10000","horizontal","0.7910457816872452"
"samsung_SM-A705FN","2021_12_06_12_54_33","no id","2","40","10000","horizontal","0.4700736598117984"
"samsung_SM-A705FN","2021_12_06_12_54_33","no id","3","40","10000","horizontal","0.3277006704894699"
"samsung_SM-A705FN","2021_12_06_12_55_19","no id","1","100","100000","horizontal","1.4557228749562046"
"samsung_SM-A705FN","2021_12_06_12_55_19","no id","2","100","100000","horizontal","0.7293519771714156"
"samsung_SM-A705FN","2021_12_06_12_55_19","no id","3","100","100000","horizontal","1.057825147699561"
"samsung_SM-A705FN","2021_12_06_01_12_00","desk","1","40","10000","vertical","38.62649619873804"
"samsung_SM-A705FN","2021_12_06_01_12_00","desk","2","40","10000","vertical","43.22818073413669"
"samsung_SM-A705FN","2021_12_06_01_12_00","desk","3","40","10000","vertical","69.67857058909736"
"Xiaomi_M2007J3SG","2021_12_05_11_07_26","no id","1","40","100000","vertical","0.4079752584059261"
"Xiaomi_M2007J3SG","2021_12_05_11_07_26","no id","2","40","100000","vertical","0.00808868650639764"
"Xiaomi_M2007J3SG","2021_12_05_11_07_26","no id","3","40","100000","vertical","0.00810469241038956"
"Xiaomi_M2007J3SG","2021_12_05_11_07_51","no id","1","40","100000","vertical","0.00197331984600056"
"Xiaomi_M2007J3SG","2021_12_05_11_07_51","no id","2","40","100000","vertical","0.01030114221757537"
"Xiaomi_M2007J3SG","2021_12_05_11_07_51","no id","3","40","100000","vertical","0.01084326167607336"
"Xiaomi_M2007J3SG","2021_12_05_11_09_43","no id","1","40","100000","vertical","0.00638831235451331"
"Xiaomi_M2007J3SG","2021_12_05_11_09_43","no id","2","40","100000","vertical","0.00344009767326885"
"Xiaomi_M2007J3SG","2021_12_05_11_09_43","no id","3","40","100000","vertical","0.00540281817240888"
"Xiaomi_M2007J3SG","2021_12_05_11_10_20","no id","1","40","10000","vertical","0.00648080739176628"
"Xiaomi_M2007J3SG","2021_12_05_11_10_20","no id","2","40","10000","vertical","0.00138284893162478"
"Xiaomi_M2007J3SG","2021_12_05_11_10_20","no id","3","40","10000","vertical","0.02307177796562848"
"Xiaomi_M2007J3SG","2021_12_05_11_09_43","no id","1","40","100000","vertical","0.00638831235451331"
"Xiaomi_M2007J3SG","2021_12_05_11_09_43","no id","2","40","100000","vertical","0.00344009767326885"
"Xiaomi_M2007J3SG","2021_12_05_11_09_43","no id","3","40","100000","vertical","0.00540281817240888"
"Xiaomi_M2007J3SG","2021_12_06_12_17_07","no id","1","40","10000","horizontal","0.08926477998769444"
"Xiaomi_M2007J3SG","2021_12_06_12_17_07","no id","2","40","10000","horizontal","0.118259193056544"
"Xiaomi_M2007J3SG","2021_12_06_12_17_07","no id","3","40","10000","horizontal","0.21327951318780997"
"Xiaomi_M2007J3SG","2021_12_06_12_17_59","no id","1","100","100000","horizontal","1.3246153720684493"
"Xiaomi_M2007J3SG","2021_12_06_12_17_59","no id","2","100","100000","horizontal","0.7238067925529189"
"Xiaomi_M2007J3SG","2021_12_06_12_17_59","no id","3","100","100000","horizontal","0.2660426557882855"
"Xiaomi_M2007J3SG","2021_12_06_12_18_32","no id","1","40","10000","horizontal","0.25396319421975155"
"Xiaomi_M2007J3SG","2021_12_06_12_18_32","no id","2","40","10000","horizontal","0.3683790275055856"
"Xiaomi_M2007J3SG","2021_12_06_12_18_32","no id","3","40","10000","horizontal","0.4723515482242799"
"Xiaomi_M2007J3SG","2021_12_06_12_19_33","no id","1","40","100000","horizontal","0.11130951728739477"
"Xiaomi_M2007J3SG","2021_12_06_12_19_33","no id","2","40","100000","horizontal","0.09977734952211247"
"Xiaomi_M2007J3SG","2021_12_06_12_19_33","no id","3","40","100000","horizontal","0.14477370953220126"
"samsung_SM-A405FN","2021_12_05_11_34_32","no id","1","40","10000","vertical","13.642313022312303"
"samsung_SM-A405FN","2021_12_05_11_34_32","no id","2","40","10000","vertical","1.8832735817973139"
"samsung_SM-A405FN","2021_12_05_11_34_32","no id","3","40","10000","vertical","2.4895447624638063"
"samsung_SM-A405FN","2021_12_05_11_35_37",,"1","40","10000","vertical","0.34631668972819635"
"samsung_SM-A405FN","2021_12_05_11_35_37",,"2","40","10000","vertical","0.4891759578140786"
